numAttachments,sizeAttachments,numLinks,numLinksClickHere,numIpUrl,numLinksFileExt,htmlJavascript,numRecipients,htmlBody,numLinksNonMatching,numConcatenatedUrls,fromSenderSimilar,spanTime,numUniqueDomains,numShortenedUrls,bccExists,fromNameExists,fromNonEnglish,maxDots,numCc,noReply,subjectExists,subjectLength,senderExists,classification
0,0,2,0,1,0,0,1,1,0,0,1,254,2,0,0,1,0,4,0,0,1,26,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3601,1,0,0,1,0,6,0,0,1,99,0,1
0,0,1,0,0,0,0,1,0,0,0,1,389,1,0,0,1,0,3,0,0,1,39,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3593,1,0,0,1,0,5,0,0,1,56,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3593,1,0,0,1,0,5,0,0,1,66,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3602,1,0,0,1,0,6,0,0,1,100,0,1
0,0,9,0,4,11,1,1,1,3,0,1,22,4,0,0,0,1,4,0,1,1,25,0,1
0,0,1,0,0,0,0,1,0,0,0,1,24,1,0,0,1,0,3,0,0,1,39,0,1
0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,2,0,0,1,11,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3588,1,0,0,1,0,6,0,0,1,69,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3348,1,0,0,1,0,6,0,0,1,94,0,1
0,0,2,0,0,0,0,1,1,0,0,1,3049,2,0,0,1,0,4,0,0,1,26,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3184,1,0,0,1,0,6,0,0,1,75,0,1
0,0,3,0,0,0,0,1,1,0,0,1,164,1,0,0,1,0,5,0,0,1,36,0,1
0,0,2,0,0,0,0,1,1,0,0,1,275,2,0,0,1,0,4,0,0,1,26,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3602,1,0,0,1,0,6,0,0,1,100,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3241,1,0,0,1,0,6,0,0,1,108,0,1
0,0,2,0,0,0,0,1,1,0,0,1,1,2,0,0,1,0,4,0,0,1,26,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3604,1,0,0,1,0,6,0,0,1,98,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3221,1,0,0,1,0,6,0,0,1,72,0,1
0,0,9,0,0,6,1,1,1,3,0,1,21,4,5,0,0,1,3,0,1,1,25,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3575,1,0,0,1,0,6,0,0,1,105,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3599,1,0,0,1,0,6,0,0,1,102,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3176,1,0,0,1,0,5,0,0,1,65,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3117,1,0,0,1,0,5,0,0,1,83,0,1
0,0,1,0,0,0,0,1,1,0,0,0,3589,1,0,0,1,0,6,0,0,1,83,1,1
0,0,1,0,0,0,0,1,1,0,0,1,3581,1,0,0,1,0,6,0,0,1,28,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3598,1,0,0,1,0,6,0,0,1,67,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3607,1,0,0,1,0,6,0,0,1,18,0,1
0,0,1,0,0,0,0,1,1,0,0,1,9,1,0,0,1,0,4,0,0,1,39,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3599,1,0,0,1,0,6,0,0,1,101,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3597,1,0,0,1,0,6,0,0,1,93,0,1
0,0,3,0,0,0,0,1,1,0,0,1,0,2,0,0,1,0,3,0,0,1,33,0,1
0,0,8,0,0,1,0,1,1,2,0,1,0,3,0,0,1,0,3,0,0,1,23,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3061,1,0,0,1,0,6,0,0,1,75,0,1
0,0,8,0,0,1,0,1,1,2,0,1,0,3,0,0,1,0,4,0,0,1,43,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3580,1,0,0,1,0,5,0,0,1,23,0,1
0,0,1,0,0,0,0,1,1,1,0,0,3058,1,0,0,1,0,5,0,0,1,67,1,1
0,0,1,0,1,0,0,1,1,0,0,1,3239,1,0,0,1,0,4,0,0,1,36,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3605,1,0,0,1,0,6,0,0,1,94,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3604,1,0,0,1,0,6,0,0,1,52,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3,1,0,0,1,0,3,0,0,1,39,0,1
0,0,1,0,1,0,0,1,1,0,0,1,3600,1,0,0,1,0,4,0,0,1,11,0,1
0,0,1,0,0,0,0,1,1,0,0,1,42,1,0,0,1,0,4,0,0,1,39,0,1
0,0,1,0,0,0,0,1,1,1,0,1,23,1,0,0,1,0,4,0,0,1,56,0,1
0,0,1,0,0,0,0,1,1,1,0,1,2,1,0,0,1,0,4,0,0,1,56,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3242,1,0,0,1,0,6,0,0,1,66,0,1
0,0,1,0,0,0,0,1,1,0,0,1,94,1,0,0,1,0,4,0,0,1,39,0,1
0,0,0,0,0,0,0,1,0,0,0,1,6276,0,0,0,1,0,0,0,0,1,20,0,1
0,0,1,0,0,0,0,1,1,0,0,1,9,1,0,0,1,0,4,0,0,1,39,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3480,1,0,0,1,0,6,0,0,1,76,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3060,1,0,0,1,0,6,0,0,1,56,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3591,1,0,0,1,0,5,0,0,1,43,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3571,1,0,0,1,0,5,0,0,1,35,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3244,1,0,0,1,0,6,0,0,1,28,0,1
0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0,1,0,1,0,0,1,18,0,1
0,0,1,0,0,0,0,1,1,0,0,0,3623,1,0,0,1,0,5,0,0,1,92,1,1
0,0,1,0,0,0,0,1,1,0,0,1,3163,1,0,0,1,0,6,0,0,1,67,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3599,1,0,0,1,0,6,0,0,1,93,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3536,1,0,0,1,0,6,0,0,1,96,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3545,1,0,0,1,0,5,0,0,1,64,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3598,1,0,0,1,0,6,0,0,1,63,0,1
